       I1         I2      I3
B01    282.0      1630    176.9
B02    313.8      1600    196.6
B03    358.5      1610    217.5
B04    400.6      1670    239.7
B05    445.2      1720    263.8
B06    508.4      1740    290.3
B07    586.2      1790    321.6
B08    728.7      1840    363.3
B09    895.6      1900    415.3
B10    1058.2     1990    478.1
B11    1262.7     2090    547.7
B12    1479.9     2190    633.9
B13    1724.7     2290    730.3
B14    1996.4     2370    846.6
B15    2295.5     2460    988.9
B16    2586.0     2550    1136.2
B17    2917.5     2640    1300.5
B18    3307.6     2730    1517.3
B19    3800.5     2820    1731.3
B20    4466.5     2880    2098.5
B21    5117.4     2980    2416.6
B22    784.4      3040    2744.4
B23    6427.7     3120    3034.3
B24    7013.3     3190    3242.7
B25    7722.8     3230    3394.5
B26    8314.6     3270    3549.4
B27    8874.1     3290    3704.6
B28    9459.1     3270    3849.0
B29    9900.7     3270    3933.1
B30    10248.8    3230    4110.4
B31    10521.9    3180    4245.5
B32    10791.7    3140    4401.9
B33    11368.6    3040    4486.1
B34    11377.5    2980    4672.5
B35    11455.9    2911    4797.7
B36    11559.7    2833    4990.4
B37    12158.4    2729    5199.2
B38    12225.2    2649    5408.4
B39    12444.9    2577    5580.0
B40    13280.0    2423    5730.0
B41    14146.0    2490    5845.9 ;
